Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population_revised,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,Noquals,NEET,HESA,drive_petrol,drive_GP,drive_PO,drive_primary,drive_retail,drive_secondary,PT_GP,PT_Post,PT_retail,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
S01008417,Balerno and Bonnington Village,City of Edinburgh,726,424,0.05,35,0.03,15,35,18,0,73,0.13,0.06,57,0.92,6.3,28,0,0.19,3.4,7,4,4.4,4.4,4.4,18.4,11.6,12,12,165,17,8,0.02,0.01
S01008418,Balerno and Bonnington Village,City of Edinburgh,710,397,0.01,10,0.02,10,35,92,0,55,0.14,0,70,0.95,5.8,24,0.04,0.15,3.8,7.1,2.8,3,3.3,5.1,16.8,9.2,9.5,10,141,7,10,0.01,0.01
S01008419,Balerno and Bonnington Village,City of Edinburgh,526,326,0.04,25,0.05,15,55,86,0,63,0.1,0,92,0.96,5.5,34,0.07,0.27,2.7,5.9,1.6,2.4,2,3.2,16.1,7.2,7.5,9,171,30,0,0.06,0
S01008420,Balerno and Bonnington Village,City of Edinburgh,488,287,0.04,20,0.03,5,35,0,0,67,0.14,0.06,79,0.94,5.8,30,0.02,0.15,2.5,5.9,1.6,1.4,2,3.4,13.7,4.7,5,4,82,2,0,0,0
S01008421,Balerno and Bonnington Village,City of Edinburgh,885,543,0.12,110,0.09,45,95,110,63,109,0.19,0.02,101,0.89,5.2,88,0.06,0.09,1.4,5.4,1.9,1.9,2.3,2.8,14.7,7,7.2,12,136,61,6,0.07,0.01
S01008422,Balerno and Bonnington Village,City of Edinburgh,622,346,0.01,10,0.02,5,25,15,0,54,0.13,0,71,0.99,6.3,11,0.02,0.19,2.1,5.7,2.7,4.4,3.1,3.1,12.8,7.4,7.8,9,145,17,4,0.03,0.01
S01008423,Balerno and Bonnington Village,City of Edinburgh,1070,650,0.02,20,0.02,15,30,52,132,63,0.12,0,67,0.95,5.8,31,0.03,0.23,3.5,4.9,3.2,4.6,4.1,3.6,14.8,7.9,11,18,168,27,3,0.03,0
S01008424,Balerno and Bonnington Village,City of Edinburgh,818,421,0.01,10,0.03,15,30,16,0,66,0.12,0,49,0.9,6.4,26,0.05,0.23,3.4,3.6,3.3,3.8,3.9,3.5,11.1,8.5,10.8,6,73,9,3,0.01,0
S01008425,Currie West,City of Edinburgh,3302,2917,0.01,35,0.01,20,20,21,0,81,0.06,0,43,0.94,6.1,39,0,0.09,4.1,3.1,4.2,2.7,4.6,3.7,9.4,11.7,18,19,58,31,8,0.03,0.01
S01008426,Currie West,City of Edinburgh,564,311,0.09,50,0.13,40,100,136,61,85,0.23,0,117,0.88,5.4,105,0.03,0.06,3.3,1.6,2.2,1.5,5.5,3.2,5.7,6.8,13.5,9,160,43,6,0.08,0.01
S01008427,Currie West,City of Edinburgh,1090,755,0.01,15,0.02,15,35,17,25,72,0.13,0,60,0.96,6,36,0.01,0.14,4.7,3.8,3.9,3.3,6.9,3.1,15.3,14.5,21.8,10,92,48,4,0.04,0
S01008428,Currie West,City of Edinburgh,679,390,0.1,70,0.08,30,75,50,47,110,0.16,0,100,0.84,5.5,110,0.04,0.05,3.4,1.9,2.2,2.5,4.3,3.8,6.8,5.6,9.2,3,44,61,4,0.09,0.01
S01008429,Currie East,City of Edinburgh,845,520,0.01,10,0.04,20,45,22,0,70,0.14,0,63,0.94,6,39,0.01,0.13,2.3,1.8,1.4,1.3,5.8,3.7,6.6,4.3,12.3,10,118,25,6,0.03,0.01
S01008430,Currie East,City of Edinburgh,726,437,0.06,45,0.07,30,60,41,47,69,0.15,0,81,0.95,5.5,37,0.06,0.08,1.7,2,1.6,2.1,5.7,4.6,6.3,5.2,11.4,19,262,66,9,0.1,0.01
S01008431,Currie East,City of Edinburgh,842,503,0.04,35,0.05,25,55,11,82,54,0.15,0.05,53,0.94,6,42,0.02,0.16,2.6,3.3,2.6,1.8,6.6,5,11.2,9.2,15.8,3,36,40,3,0.05,0
S01008432,Currie East,City of Edinburgh,716,387,0.03,20,0.02,5,35,7,0,43,0.13,0,64,0.94,5.8,39,0.03,0.14,1.8,3.6,2.8,2.7,6.4,5.4,10.6,7.9,14.5,21,293,26,2,0.04,0
S01008433,Baberton and Juniper Green,City of Edinburgh,825,488,0.02,15,0.02,10,35,5,0,78,0.14,0,66,0.93,5.8,50,0.01,0.19,2.7,2.8,3.3,2.4,3.7,2.9,13.3,11.8,12.5,15,182,21,9,0.03,0.01
S01008434,Baberton and Juniper Green,City of Edinburgh,779,469,0.02,15,0.02,5,25,28,0,67,0.14,0,84,0.87,5.8,47,0.07,0.13,3,2.7,3.5,1.6,3.9,3.2,12,11.4,12.2,16,205,28,18,0.03,0.02
S01008435,Baberton and Juniper Green,City of Edinburgh,760,448,0.01,5,0.02,10,30,23,0,103,0.15,0.12,57,0.9,5.9,42,0.01,0.12,3.1,2.4,3.6,1.8,3.9,3.4,10,10.4,12.5,24,316,27,5,0.04,0.01
S01008436,Baberton and Juniper Green,City of Edinburgh,977,535,0.03,30,0.04,25,50,10,0,84,0.14,0,57,0.94,6.2,33,0.01,0.13,3,2.6,3.8,2.5,4.2,3.7,8.7,6.6,12.3,12,123,25,2,0.03,0
S01008437,Baberton and Juniper Green,City of Edinburgh,733,434,0.05,35,0.06,30,75,65,44,50,0.17,0,83,0.86,6.7,38,0,0.27,2.2,3.3,3.4,3.5,5,4.6,7.8,5,11.6,8,109,55,12,0.08,0.02
S01008438,Bonaly and The Pentlands,City of Edinburgh,473,325,0.01,5,0.02,5,25,29,64,61,0.13,0,72,0.97,6.4,40,0,0.22,3.8,3.3,3.7,2.3,6.1,5.3,11.5,12.4,26,7,148,36,2,0.08,0
S01008439,Bonaly and The Pentlands,City of Edinburgh,1149,682,0.02,25,0.02,10,25,22,0,53,0.11,0,51,0.97,6.4,10,0,0.29,3.2,3,3.4,1.4,5.3,4.6,7.2,9.1,25.3,13,113,30,5,0.03,0
S01008440,Bonaly and The Pentlands,City of Edinburgh,1031,569,0.02,20,0.03,15,30,42,0,64,0.11,0.04,56,0.94,6.5,12,0.02,0.28,4.4,2.8,3.1,2.4,6.6,5.7,8.5,10,24.2,16,155,16,3,0.02,0
S01008441,Bonaly and The Pentlands,City of Edinburgh,480,278,0.01,5,0.02,5,35,10,0,93,0.1,0,51,0.97,6.2,24,0,0.23,3.8,2.9,3.3,2.5,5,4.4,6.9,8.9,23.4,6,125,11,8,0.02,0.02
S01008442,Bonaly and The Pentlands,City of Edinburgh,665,425,0.02,10,0.03,10,20,7,0,56,0.14,0.03,50,0.97,6.2,16,0.03,0.21,4.2,2.3,2.5,2.8,5.6,5,6.8,7.8,22.2,15,226,17,12,0.03,0.02
S01008443,Bonaly and The Pentlands,City of Edinburgh,595,333,0.02,10,0.02,10,20,15,64,52,0.1,0.06,54,0.99,6.7,30,0,0.4,3.3,2.5,2.7,3,4.5,3.8,7,5.7,11.9,22,370,9,4,0.02,0.01
S01008444,Colinton and Kingsknowe,City of Edinburgh,1109,812,0.01,15,0.01,5,30,24,0,53,0.11,0.03,62,0.95,5.9,47,0,0.07,2.6,2.3,3.3,2.5,7.5,5.5,6.8,9,18.1,13,117,57,6,0.09,0.01
S01008445,Colinton and Kingsknowe,City of Edinburgh,1369,861,0.06,80,0.02,15,75,61,52,70,0.1,0.02,84,0.91,5.6,69,0.03,0.03,3.4,2,3.2,2.8,7.7,5.2,7.5,9.6,19.9,8,58,95,6,0.1,0.01
S01008446,Colinton and Kingsknowe,City of Edinburgh,1092,602,0.01,10,0.01,5,25,15,0,46,0.08,0,50,1,6.4,18,0,0.05,3.2,1.8,2.8,3.4,7.4,5.3,6,7.6,18.4,22,202,13,3,0.02,0
S01008447,Colinton and Kingsknowe,City of Edinburgh,717,410,0.02,10,0.03,10,30,32,0,52,0.1,0.05,56,0.95,6.2,21,0,0.18,3.7,3.2,3.3,3.7,5.4,4.5,11.8,10.2,14.3,18,251,14,11,0.02,0.02
S01008448,Colinton and Kingsknowe,City of Edinburgh,770,474,0.04,25,0.04,20,40,6,0,53,0.13,0.05,58,0.92,6.2,54,0,0.15,2.6,3.9,3.7,3.2,5,5.1,12.8,11,12.4,29,377,35,3,0.05,0
S01008449,Clovenstone and Wester Hailes,City of Edinburgh,838,539,0.3,250,0.2,105,145,139,241,123,0.19,0.05,121,0.76,4.6,142,0.12,0.04,3.1,2.3,3.6,1.7,4.3,3.4,8,10.4,11.8,15,179,125,14,0.16,0.02
S01008450,Clovenstone and Wester Hailes,City of Edinburgh,648,416,0.23,145,0.14,60,125,107,207,124,0.21,0.08,123,0.79,4,129,0.22,0.06,3,2.5,3.5,1.9,4.2,3.3,7.6,10.2,11.2,28,432,116,11,0.21,0.02
S01008451,Clovenstone and Wester Hailes,City of Edinburgh,736,488,0.34,250,0.36,175,260,174,686,241,0.22,0.08,131,0.69,4.5,208,0.23,0.02,1.9,0.9,2.4,2.3,3.1,2.1,3.3,8,8.9,63,856,159,10,0.23,0.01
S01008452,Clovenstone and Wester Hailes,City of Edinburgh,656,416,0.41,270,0.28,120,220,485,556,173,0.19,0.1,150,0.76,4.8,171,0.21,0.07,2.3,2,2.9,1.8,3.6,2.9,6.5,8,9.3,33,503,163,4,0.26,0.01
S01008453,Clovenstone and Wester Hailes,City of Edinburgh,596,418,0.1,55,0.06,25,50,139,136,133,0.12,0.07,114,0.77,5.1,121,0.12,0.06,2.4,2.4,3,1.8,3.7,3.1,8.2,8.9,9.7,10,168,192,4,0.38,0.01
S01008454,The Calders,City of Edinburgh,949,642,0.3,285,0.23,145,215,158,0,67,0.21,0.07,116,0.71,4.7,139,0.08,0.03,2,2.1,2.5,3.2,3.1,2.2,10.5,8.4,9.1,33,348,168,16,0.18,0.02
S01008455,The Calders,City of Edinburgh,1013,657,0.28,280,0.23,155,160,168,229,137,0.2,0.08,118,0.74,4.6,166,0.19,0.01,2.6,3,2.5,2.2,3.1,2.1,11.1,6.2,10.7,60,593,213,4,0.21,0
S01008456,The Calders,City of Edinburgh,985,695,0.31,305,0.32,220,230,398,362,197,0.23,0.03,148,0.75,4.5,155,0.32,0.02,2.4,2.7,1.6,1.4,3.3,2,11,4.8,10.9,38,386,203,26,0.21,0.03
S01008457,The Calders,City of Edinburgh,589,355,0.22,130,0.2,70,185,329,256,109,0.25,0.1,134,0.79,5,162,0.2,0.03,1.7,2.1,1.7,1.7,2.9,1.5,9.8,5.5,10,23,391,120,9,0.19,0.01
S01008458,The Calders,City of Edinburgh,993,659,0.14,135,0.11,70,95,119,195,113,0.19,0.07,100,0.84,5.1,134,0.16,0.03,1.7,2.1,2.3,2.2,3,1.8,9.9,8.8,10,43,433,118,19,0.12,0.02
S01008459,Murrayburn and Wester Hailes North,City of Edinburgh,760,554,0.29,220,0.3,165,215,85,293,122,0.22,0.07,148,0.72,5,152,0.22,0.02,1.4,2,1.7,2.6,2.4,1.9,7.6,6.2,6.9,213,2804,122,34,0.16,0.05
S01008460,Murrayburn and Wester Hailes North,City of Edinburgh,819,508,0.35,290,0.28,145,220,228,396,162,0.18,0.1,144,0.64,5,196,0.14,0.03,1.9,2.9,2.5,2.1,3.2,2.6,9.1,9.4,10.1,62,757,172,2,0.21,0
S01008461,Murrayburn and Wester Hailes North,City of Edinburgh,922,637,0.31,290,0.26,165,190,210,488,159,0.22,0.07,135,0.63,4.6,186,0.17,0.03,2,3,2.5,2.1,3.3,2.8,8.9,8.9,9.7,83,901,167,14,0.18,0.02
S01008462,Murrayburn and Wester Hailes North,City of Edinburgh,580,396,0.34,200,0.35,135,215,316,303,172,0.29,0.11,150,0.66,5.1,188,0.14,0.04,2.7,3.6,3.4,1.8,4.2,2.8,10.4,9.4,10.6,29,500,62,1,0.11,0
S01008463,Murrayburn and Wester Hailes North,City of Edinburgh,702,496,0.27,190,0.26,130,190,128,473,158,0.21,0.03,125,0.7,4.7,172,0.34,0.02,2.4,3,2.5,2.6,3.5,3.2,9.7,9.5,10.3,63,898,141,7,0.21,0.01
S01008464,Parkhead and Sighthill,City of Edinburgh,845,539,0.08,70,0.06,30,60,19,63,88,0.17,0.03,91,0.72,4.8,119,0.12,0.03,2.4,1.8,1.3,1.9,4.1,3.6,7.4,4.7,11.8,34,403,137,34,0.16,0.04
S01008465,Parkhead and Sighthill,City of Edinburgh,735,461,0.11,80,0.08,40,75,51,0,120,0.17,0.08,98,0.85,5.7,115,0.09,0.08,1.9,2.4,1.5,1.9,3.7,2.8,9.5,5.2,11.9,33,449,88,24,0.12,0.03
S01008466,Parkhead and Sighthill,City of Edinburgh,654,427,0.17,115,0.11,50,85,102,77,53,0.19,0.05,96,0.77,5,117,0.09,0.05,1.8,2.4,1.8,0.8,4,2.6,9.8,6.6,12.4,22,337,107,18,0.14,0.02
S01008467,Parkhead and Sighthill,City of Edinburgh,804,509,0.11,85,0.07,35,75,37,108,100,0.15,0,96,0.79,5.2,122,0.13,0.06,2,2.5,2.5,1.3,3.5,2,11.8,8.9,12.7,30,373,66,17,0.08,0.02
S01008468,Broomhouse and Bankhead,City of Edinburgh,574,330,0.11,65,0.1,35,100,77,55,195,0.29,0.05,122,0.7,4.8,141,0.08,0.04,2,2.1,2.1,2,3.9,3.1,9,7.1,12.3,49,854,94,8,0.15,0.01
S01008469,Broomhouse and Bankhead,City of Edinburgh,590,404,0.11,65,0.05,20,80,61,78,108,0.15,0.03,119,0.77,4.7,126,0,0.04,2.6,2.3,1.9,2.2,5,4.3,6.9,6.6,12.8,39,661,89,3,0.15,0.01
S01008470,Broomhouse and Bankhead,City of Edinburgh,727,470,0.28,200,0.16,75,170,382,113,142,0.22,0,164,0.65,5.2,165,0.09,0.05,2.9,2.6,1.5,2.4,4.8,4.1,9.6,4.4,14,26,358,158,14,0.22,0.02
S01008471,Broomhouse and Bankhead,City of Edinburgh,874,553,0.27,235,0.22,125,205,310,190,207,0.21,0.08,159,0.72,4.5,165,0.19,0.02,2.8,2.2,1.3,2.1,4,3.3,10.3,4,11.1,29,332,190,10,0.22,0.01
S01008472,Broomhouse and Bankhead,City of Edinburgh,725,453,0.21,150,0.15,65,130,61,211,115,0.18,0.09,115,0.68,4.6,143,0.09,0.05,2.7,1.2,1.5,1.1,4.9,4.2,5.4,5.8,14.6,30,414,163,4,0.23,0.01
S01008473,Stenhouse and Saughton Mains,City of Edinburgh,724,490,0.23,165,0.19,95,185,153,282,150,0.21,0.11,132,0.69,4.4,143,0.11,0.05,3,1.4,2.2,1.4,5.6,4.9,5.7,9.1,16.2,18,249,127,14,0.18,0.02
S01008474,Stenhouse and Saughton Mains,City of Edinburgh,783,515,0.24,190,0.22,110,165,109,312,123,0.23,0,120,0.71,4.4,160,0.21,0.01,2.7,2.1,2.1,1.6,5.5,4.8,9.5,7.3,14.2,32,409,113,24,0.15,0.03
S01008475,Stenhouse and Saughton Mains,City of Edinburgh,622,404,0.23,145,0.15,60,145,75,174,102,0.19,0.04,113,0.78,4,145,0.08,0.02,1.7,2.1,2.6,2.1,5.5,5.2,7.3,6.5,12,20,322,114,3,0.19,0
S01008476,Stenhouse and Saughton Mains,City of Edinburgh,726,476,0.2,150,0.16,75,115,115,198,109,0.2,0.08,118,0.81,4.6,145,0.15,0,2.1,2.7,2.6,2.2,5.7,5.4,10.1,6.6,12.7,15,207,108,5,0.15,0.01
S01008477,Stenhouse and Saughton Mains,City of Edinburgh,763,490,0.2,155,0.22,105,150,141,474,92,0.23,0,120,0.81,5.2,150,0.1,0.03,2.5,3.1,3.9,1.7,5,6.1,12.6,9.4,12.9,28,367,116,5,0.15,0.01
S01008478,Stenhouse and Saughton Mains,City of Edinburgh,838,525,0.18,155,0.19,100,150,174,226,144,0.23,0,127,0.78,4.9,97,0.13,0.02,1.7,2.6,2.7,1.7,3.8,5.1,7.4,6.2,8.8,47,561,166,6,0.21,0.01
S01008479,Stenhouse and Saughton Mains,City of Edinburgh,789,486,0.17,135,0.13,65,115,71,65,78,0.22,0.02,116,0.71,4.9,156,0.13,0.06,1.1,2,2.9,2.1,4.8,5.6,6.9,7.8,11.7,16,203,107,11,0.14,0.01
S01008480,Stenhouse and Saughton Mains,City of Edinburgh,636,481,0.13,85,0.12,60,120,34,285,117,0.17,0,105,0.64,4.5,123,0,0.02,2.8,2.1,3,1.8,6.1,5.8,8.6,10.2,16,23,362,137,3,0.23,0
S01008481,Longstone and Saughton,City of Edinburgh,1562,1182,0.12,190,0.08,100,105,100,355,102,0.13,0.05,131,0.77,5.1,179,0.11,0.04,1.7,1.2,2.7,1.3,5,4.5,3.7,6.9,11.5,128,820,123,16,0.13,0.02
S01008482,Longstone and Saughton,City of Edinburgh,609,379,0.16,100,0.14,55,125,128,469,99,0.21,0,111,0.81,5.2,125,0.24,0.08,1.7,2.1,2.9,2.3,4.6,4.1,7.3,8,12.4,32,526,77,22,0.13,0.04
S01008483,Longstone and Saughton,City of Edinburgh,615,393,0.18,110,0.17,65,125,279,331,97,0.21,0.06,142,0.78,5.5,121,0.07,0.02,3.2,3.9,4.6,2.6,6.1,5.7,15.1,12.6,16.3,44,716,69,5,0.12,0.01
S01008484,Longstone and Saughton,City of Edinburgh,828,530,0.09,70,0.07,40,85,47,184,64,0.18,0.09,84,0.84,5.6,97,0.08,0.07,2.4,3.3,4.1,1.6,5.7,5.1,13.1,12.3,15.9,41,495,74,19,0.1,0.03
S01008485,Longstone and Saughton,City of Edinburgh,986,611,0.07,65,0.03,20,40,32,0,70,0.13,0.04,79,0.8,5.6,82,0.03,0.06,1.2,3,3.3,2.6,4.5,4.9,11.1,9.9,13.1,35,355,112,11,0.11,0.01
S01008486,Slateford and Chesser,City of Edinburgh,844,510,0.12,100,0.12,60,110,127,0,91,0.2,0,110,0.87,5.8,88,0.04,0.04,1.8,2.8,2.5,2.8,4.3,6,7.9,6.7,11.7,106,1257,102,12,0.12,0.01
S01008487,Slateford and Chesser,City of Edinburgh,814,644,0.04,30,0.03,20,50,43,22,95,0.12,0.03,61,0.88,5.5,43,0,0.09,1.9,3.4,2.3,2.7,3.9,5.7,9.2,6.8,11.7,41,504,209,16,0.28,0.02
S01008488,Slateford and Chesser,City of Edinburgh,795,566,0.1,80,0.09,50,95,13,87,92,0.15,0.05,84,0.8,5.2,91,0.11,0.01,1,2.9,1.6,1.4,2.5,5.2,7.7,4.7,7.5,14,176,114,19,0.15,0.02
S01008489,Slateford and Chesser,City of Edinburgh,613,408,0.14,85,0.13,50,110,131,190,82,0.23,0.04,103,0.74,5.1,110,0.1,0.05,2.1,3.2,2.7,1.6,2.9,4.6,7.9,7.7,7.7,8,131,66,17,0.11,0.03
S01008490,Slateford and Chesser,City of Edinburgh,924,696,0.12,110,0.09,60,75,110,65,96,0.14,0,71,0.7,6,68,0.13,0.07,1.4,2.6,2.3,1,1.9,4.7,7.4,7.2,6.3,20,217,184,51,0.21,0.06
S01008491,Slateford and Chesser,City of Edinburgh,953,749,0.09,90,0.07,50,65,127,42,128,0.13,0.05,90,0.79,5.5,82,0.06,0.04,2.5,2.4,2.8,1.5,2,4.3,6.2,8.3,4.2,26,273,176,46,0.19,0.05
S01008492,Gorgie West,City of Edinburgh,1219,1008,0.14,165,0.11,110,140,72,97,198,0.12,0.03,95,0.76,5,103,0.03,0.06,2.2,2.1,2.2,2.5,2.1,4,4.6,8.1,6.6,26,213,161,40,0.17,0.04
S01008493,Gorgie West,City of Edinburgh,970,686,0.12,115,0.11,75,105,62,209,119,0.18,0.07,107,0.82,5.1,78,0.07,0.03,1.5,3.3,2.2,2,2.7,3.7,7.1,5.5,6.7,62,639,180,27,0.23,0.03
S01008494,Gorgie West,City of Edinburgh,918,721,0.14,125,0.17,125,135,197,150,153,0.15,0,96,0.6,5,99,0.15,0.07,1.2,2.8,1.9,1.4,2.4,4,7.9,5.1,6.6,48,523,193,102,0.28,0.15
S01008495,Gorgie West,City of Edinburgh,952,867,0.09,90,0.1,90,100,77,124,107,0.13,0.03,78,0.71,5,75,0.08,0.02,2.1,2.3,1,2.9,1.3,2.5,6.1,3.1,2.9,38,399,371,155,0.42,0.17
S01008496,Gorgie West,City of Edinburgh,967,875,0.06,60,0.07,65,65,155,15,96,0.12,0.05,82,0.77,5.5,51,0.05,0.05,2,2.2,0.7,2.6,1.9,2.4,6.4,2.1,5.2,15,155,360,187,0.38,0.2
S01008497,Gorgie East,City of Edinburgh,839,741,0.07,60,0.08,60,65,182,120,61,0.13,0.04,66,0.91,7,63,0,0.13,2.3,1.9,1,2.4,2.2,2.3,5.9,3.1,6.5,23,274,289,159,0.37,0.2
S01008498,Gorgie East,City of Edinburgh,808,700,0.13,105,0.15,105,140,127,166,119,0.19,0.04,77,0.81,5.1,75,0.1,0.01,1.5,1,1.2,1.8,2.5,1.7,3.1,3.3,5.2,43,532,270,110,0.35,0.14
S01008499,Gorgie East,City of Edinburgh,999,890,0.08,80,0.09,80,100,90,64,84,0.13,0.02,63,0.89,6,54,0.05,0.02,0.7,1.2,1.3,1.1,2.4,2.2,3,4.2,5.5,22,220,372,123,0.37,0.12
S01008500,Gorgie East,City of Edinburgh,462,395,0.21,95,0.21,85,195,365,667,248,0.16,0.09,141,0.75,4.8,128,0.03,0.01,1.2,2,1.7,1.2,2.9,2.9,4.9,5.7,6.5,12,260,124,7,0.31,0.02
S01008501,Gorgie East,City of Edinburgh,636,559,0.05,30,0.04,20,40,61,0,90,0.08,0,41,0.83,5,31,0,0.01,1.4,2.3,1.5,1.2,2.6,3.6,5.6,5.1,6.5,3,47,92,11,0.15,0.02
S01008502,Shandon,City of Edinburgh,678,618,0.02,15,0.02,10,20,62,0,37,0.06,0.05,34,0.81,6,36,0,0.01,2,2.3,1.3,2.5,1.9,3.3,6.9,4.6,5.7,12,177,160,46,0.25,0.07
S01008503,Shandon,City of Edinburgh,860,721,0.04,35,0.02,15,30,28,19,71,0.09,0.05,41,0.85,6,25,0,0.06,2.3,1.8,2.1,1.8,2.3,3.4,4.9,6.5,7.1,18,209,127,39,0.15,0.05
S01008504,Shandon,City of Edinburgh,1114,816,0.03,30,0.03,20,25,28,36,60,0.09,0,50,0.96,5.8,26,0.02,0.07,2.9,2.6,2.9,1.9,2.9,4.6,7,8.8,8.4,6,54,113,46,0.1,0.04
S01008505,Shandon,City of Edinburgh,746,542,0.02,20,0.03,20,40,86,0,76,0.12,0.06,64,0.93,6.5,22,0.02,0.19,2.9,2.3,2.6,1.4,2.9,4.1,6.4,8.1,8.6,4,54,35,22,0.05,0.03
S01008506,Shandon,City of Edinburgh,934,551,0.03,30,0.03,15,50,57,0,115,0.16,0.03,70,0.95,4.8,16,0.02,0.14,3.1,1.8,2.7,0.9,3.3,4,6,7.2,9.4,10,107,81,28,0.1,0.04
S01008507,Shandon,City of Edinburgh,819,645,0.06,50,0.04,25,40,50,79,97,0.13,0.02,57,0.92,6.1,27,0,0.05,2.1,1.1,2.1,1.9,3.2,3,4.4,6.6,9,27,330,74,26,0.1,0.03
S01008508,Craiglockhart,City of Edinburgh,859,535,0.01,10,0.02,10,40,6,36,69,0.11,0.04,48,0.95,5.9,16,0.02,0.18,4.3,1.9,2.3,1.9,4.4,5.2,5.8,6.6,11.9,15,175,20,6,0.02,0.01
S01008509,Craiglockhart,City of Edinburgh,909,530,0.02,15,0.02,15,40,21,0,63,0.11,0,54,0.94,6.2,25,0.03,0.4,4.4,1.5,1.7,2.6,5.3,4.8,4.7,5.4,13,15,165,61,6,0.06,0.01
S01008510,Craiglockhart,City of Edinburgh,923,582,0.02,15,0.02,15,30,20,0,55,0.12,0,56,0.95,6,31,0.02,0.13,2.3,3.1,2.2,3.2,3.9,4.8,8.8,7.3,10.7,41,444,55,11,0.06,0.01
S01008511,Craiglockhart,City of Edinburgh,907,528,0.01,10,0.01,10,30,31,78,64,0.1,0,55,0.98,5.8,21,0,0.29,2.7,2.2,2.1,2.8,4.7,3.8,6.2,6.4,12.1,23,254,18,6,0.02,0.01
S01008512,Craiglockhart,City of Edinburgh,516,305,0.01,5,0.01,5,30,9,0,31,0.12,0,47,0.9,6.2,13,0,0.27,2.8,2.2,2,3.1,4.6,3.5,8,8.2,13.7,15,291,6,2,0.01,0
S01008513,Craiglockhart,City of Edinburgh,770,428,0.02,15,0.01,5,45,13,0,94,0.13,0,74,0.96,6.4,30,0.01,0.33,2.5,1.5,2.7,2.5,5.6,3.3,6.6,8.3,17,20,260,23,4,0.03,0.01
S01008514,Morningside and Craighouse,City of Edinburgh,950,515,0.03,35,0.05,25,55,64,183,107,0.16,0.07,70,0.97,6.3,17,0.02,0.34,3,3.1,3.2,2.4,3.6,5.9,8,8.3,8.4,22,232,21,9,0.02,0.01
S01008515,Morningside and Craighouse,City of Edinburgh,793,527,0.01,5,0.01,5,20,39,0,49,0.09,0.05,52,0.94,6.1,14,0,0.21,3,2.5,2.6,2.4,3,6.2,6.3,6.6,6.7,7,88,35,14,0.05,0.02
S01008516,Morningside and Craighouse,City of Edinburgh,927,733,0.07,65,0.08,60,70,126,40,83,0.13,0.05,66,0.9,4.6,37,0.13,0.05,3.5,2.2,2.2,2.6,2.6,6.1,5.4,5.7,6.1,10,108,205,94,0.23,0.1
S01008517,Morningside and Craighouse,City of Edinburgh,873,621,0.05,40,0.02,15,45,59,0,76,0.13,0.06,59,0.88,6.5,17,0,0.07,2.4,1.1,1.1,1.3,1.6,5.4,3.3,3.7,3.9,11,126,110,18,0.13,0.02
S01008518,Morningside and Craighouse,City of Edinburgh,952,645,0.02,15,0.03,15,20,43,30,24,0.1,0.03,49,0.94,6.2,13,0.04,0.26,2,2,2.1,1.3,2.5,6.2,5,5.4,5.6,35,368,60,19,0.07,0.02
S01008519,Greenbank and The Braids,City of Edinburgh,837,522,0.01,10,0.03,15,30,12,0,52,0.11,0.04,54,0.97,6.4,12,0.03,0.31,2.1,3.2,3.1,2.1,3.6,6.2,6.9,7.2,7.4,24,287,35,13,0.04,0.02
S01008520,Greenbank and The Braids,City of Edinburgh,1101,627,0.01,15,0.02,10,20,17,0,69,0.1,0,56,0.94,6.4,13,0.01,0.22,1.6,2.2,1.9,2.2,3.8,7,7.9,7.8,10.3,34,309,24,1,0.02,0
S01008521,Greenbank and The Braids,City of Edinburgh,907,548,0.01,15,0.02,10,25,5,0,95,0.09,0,49,0.97,6.5,17,0.01,0.37,1.9,3.2,3,2.3,4.1,5.8,6.8,8.2,8.8,19,210,17,4,0.02,0
S01008522,Greenbank and The Braids,City of Edinburgh,493,299,0.02,10,0.01,5,25,9,0,50,0.11,0,49,0.95,6.1,3,0,0.29,2.8,3.6,3.3,2.7,4.7,5.3,11,11.3,11.4,11,223,5,0,0.01,0
S01008523,Greenbank and The Braids,City of Edinburgh,995,608,0.01,15,0.02,10,20,37,58,45,0.09,0,44,0.92,6.3,10,0.03,0.32,4.1,4.8,4.4,3.7,5.8,6.1,13.6,13.9,14.3,4,40,24,6,0.02,0.01
S01008524,Colinton Mains and Firrhill,City of Edinburgh,887,622,0.24,215,0.21,130,155,190,335,97,0.21,0.06,105,0.75,5.1,126,0.12,0.05,3.4,3,2.9,2.9,5.8,5.5,7.2,9.2,13.2,88,993,172,37,0.2,0.04
S01008525,Colinton Mains and Firrhill,City of Edinburgh,841,494,0.16,130,0.1,50,110,148,40,91,0.17,0.06,114,0.73,5,95,0.12,0.03,2.4,2.2,1.8,2,6.4,4.3,6.6,6,15.8,31,369,90,13,0.12,0.02
S01008526,Colinton Mains and Firrhill,City of Edinburgh,876,554,0.13,110,0.1,55,85,96,94,96,0.19,0,92,0.85,5,88,0.12,0.07,1.6,1.6,1.6,1.5,6.8,3.1,5.1,4.6,16.5,49,560,92,23,0.11,0.03
